Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1899","Directed","Arthur Schnitzler an Hermann Bahr","5.2631578947368425"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1899","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","26.82926829268293"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1899","Directed","Richard Beer-Hofmann an Arthur Schnitzler","23"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1899","Directed","Hermann Bahr an Arthur Schnitzler","4"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1899","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","10"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1899","Directed","Richard Beer-Hofmann an Hugo von Hofmannsthal","7.317073170731708"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1899","Directed","Hugo von Hofmannsthal an Hermann Bahr","19.736842105263158"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1899","Directed","Hermann Bahr an Hugo von Hofmannsthal","12.195121951219512"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1899","Directed","Hermann Bahr an Richard Beer-Hofmann","1"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1899","Directed","Hugo von Hofmannsthal an Felix Salten","14.705882352941176"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1899","Directed","Hermann Bahr an Felix Salten","11.76470588235294"
"Richard Beer-Hofmann","10863","Felix Salten","Felix Salten","1899","Directed","Richard Beer-Hofmann an Felix Salten","5.88235294117647"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1899","Directed","Paul Goldmann an Arthur Schnitzler","39"
"Arthur Schnitzler","2121","Paul Goldmann","Paul Goldmann","1899","Directed","Arthur Schnitzler an Paul Goldmann","1"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1899","Directed","Felix Salten an Arthur Schnitzler","18"
"Arthur Schnitzler","2121","Felix Salten","Felix Salten","1899","Directed","Arthur Schnitzler an Felix Salten","14.705882352941176"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1899","Directed","Paul Goldmann an Richard Beer-Hofmann","1 75"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1900","Directed","Hermann Bahr an Arthur Schnitzler","5"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1900","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","13"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1900","Directed","Arthur Schnitzler an Richard Beer-Hofmann","25"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1900","Directed","Richard Beer-Hofmann an Arthur Schnitzler","13"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1900","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","14.634146341463415"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1900","Directed","Arthur Schnitzler an Hermann Bahr","5.2631578947368425"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1900","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","8"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1900","Directed","Richard Beer-Hofmann an Hugo von Hofmannsthal","7.317073170731708"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1900","Directed","Hugo von Hofmannsthal an Hermann Bahr","31.57894736842105"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1900","Directed","Hermann Bahr an Hugo von Hofmannsthal","14.634146341463415"
"Richard Beer-Hofmann","10863","Hermann Bahr","Hermann Bahr","1900","Directed","Richard Beer-Hofmann an Hermann Bahr","1.3157894736842106"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1900","Directed","Hermann Bahr an Richard Beer-Hofmann","1"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1900","Directed","Hugo von Hofmannsthal an Felix Salten","5.88235294117647"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1900","Directed","Hermann Bahr an Felix Salten","11.76470588235294"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1900","Directed","Paul Goldmann an Arthur Schnitzler","47"
"Arthur Schnitzler","2121","Paul Goldmann","Paul Goldmann","1900","Directed","Arthur Schnitzler an Paul Goldmann","2"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1900","Directed","Felix Salten an Arthur Schnitzler","10"
"Arthur Schnitzler","2121","Felix Salten","Felix Salten","1900","Directed","Arthur Schnitzler an Felix Salten","2.941176470588235"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1900","Directed","Paul Goldmann an Richard Beer-Hofmann","4 75"
"Felix Salten","2167","Hermann Bahr","Hermann Bahr","1900","Directed","Felix Salten an Hermann Bahr","2.6315789473684212"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1901","Directed","Hermann Bahr an Arthur Schnitzler","14"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1901","Directed","Richard Beer-Hofmann an Arthur Schnitzler","12"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1901","Directed","Arthur Schnitzler an Hermann Bahr","18.42105263157895"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1901","Directed","Arthur Schnitzler an Richard Beer-Hofmann","29"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1901","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","12.195121951219512"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1901","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","11"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1901","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","17"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1901","Directed","Hugo von Hofmannsthal an Hermann Bahr","30.263157894736842"
