Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1899","Directed","Hugo von Hofmannsthal an Felix Salten","10"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1899","Directed","Hermann Bahr an Felix Salten","8"
"Richard Beer-Hofmann","10863","Felix Salten","Felix Salten","1899","Directed","Richard Beer-Hofmann an Felix Salten","4"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1899","Directed","Paul Goldmann an Arthur Schnitzler","78"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1899","Directed","Felix Salten an Arthur Schnitzler","36"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1899","Directed","Paul Goldmann an Richard Beer-Hofmann","2"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1900","Directed","Hermann Bahr an Arthur Schnitzler","10"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1900","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","26"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1900","Directed","Arthur Schnitzler an Richard Beer-Hofmann","50"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1900","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","16"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1900","Directed","Hugo von Hofmannsthal an Hermann Bahr","48"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1900","Directed","Hugo von Hofmannsthal an Felix Salten","4"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1900","Directed","Hermann Bahr an Felix Salten","8"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1900","Directed","Paul Goldmann an Arthur Schnitzler","94"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1900","Directed","Felix Salten an Arthur Schnitzler","20"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1900","Directed","Paul Goldmann an Richard Beer-Hofmann","8"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1901","Directed","Arthur Schnitzler an Richard Beer-Hofmann","58"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1901","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","22"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1901","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","34"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1901","Directed","Hugo von Hofmannsthal an Hermann Bahr","46"
